"Время","Rambler, Визиты","Rambler, Доля","Mail.ru, Визиты","Mail.ru, Доля","Google, Визиты","Google, Доля","Яндекс, Визиты","Яндекс, Доля","Остальные, Визиты","Остальные, Доля"
"2015-03-27 - 2015-03-27","1334220","0.00923259677271259","10450911","0.0723186934467378","36296899","0.25116894707535103","91671839","0.6343549976016161","4758020","0.03292476510358258"
"2015-03-28 - 2015-03-28","1003671","0.008481674675913257","8780414","0.07420022603804856","29954742","0.2531371103129564","74525851","0.6297920564882165","4069382","0.034388932484865305"
"2015-03-29 - 2015-03-29","1107287","0.008399822531278498","9616674","0.07295159695829548","33114696","0.25120638965077524","83408693","0.632734077764745","4575316","0.034708113094905846"
"2015-03-30 - 2015-03-30","1510008","0.009173420728960862","11668009","0.07088409837981116","40965144","0.24886656304765714","105138900","0.6387273211003803","5324801","0.032348596743190454"
"2015-03-31 - 2015-03-31","1481549","0.009423894975929312","11509808","0.07321203806631506","36333095","0.23110897542400718","102956041","0.654886822860042","4931467","0.031368268673706505"
"2015-04-01 - 2015-04-01","1434096","0.009275923085313737","10912395","0.07058281781454115","38790723","0.2509035399106549","99286289","0.642196882349739","4180625","0.027040836839751135"
"2015-04-02 - 2015-04-02","1425164","0.00923087605247405","10963138","0.07100892811225112","38810060","0.2513751774877004","99015551","0.6413298950495683","4177067","0.02705512329800614"
"2015-04-03 - 2015-04-03","1352990","0.009284590524332151","10413888","0.07146297152695608","36562322","0.25090073717380096","93371276","0.6407394469984272","4023775","0.02761225377648364"
"2015-04-04 - 2015-04-04","996109","0.008457032123382476","8634460","0.07330714368413602","29895129","0.25381164740571865","74675152","0.633997041772004","3583851","0.030427135014758834"
"2015-04-05 - 2015-04-05","1084637","0.008179386174975685","9646205","0.07274326416854794","33451376","0.25226109969355043","84637536","0.6382624710777955","3786407","0.028553778885130384"
"2015-04-06 - 2015-04-06","1464891","0.00916532994095374","11215004","0.0701685053352884","40355589","0.25249133768077175","102545564","0.6415930796497404","4248550","0.02658174739324565"
"2015-04-07 - 2015-04-07","1423112","0.008977766138652383","11196602","0.07063426793082171","40024757","0.2524979819595295","101682181","0.6414666178671269","4188504","0.026423366103869587"
"2015-04-08 - 2015-04-08","1345918","0.00879623330446237","10783445","0.07047509435629677","39080578","0.25541071726601433","97750215","0.6388455290005463","4050565","0.02647242607268023"
"2015-04-09 - 2015-04-09","1327499","0.008891731476553534","10501535","0.07034041405050295","38281148","0.2564112580349999","95208486","0.6377167077347753","3977226","0.02663988870316822"
"2015-04-10 - 2015-04-10","1237108","0.008928362067531425","9930549","0.07167000536845783","35614919","0.2570372932984058","87977296","0.6349430707831363","3799473","0.02742126848246865"
"2015-04-11 - 2015-04-11","838268","0.008118371085587352","7578697","0.07339737958651363","27047495","0.2619467775765847","64732933","0.6269188034762908","3058296","0.029618668275023564"
"2015-04-12 - 2015-04-12","870221","0.007966817094157752","7989583","0.07314411674688633","28585213","0.2616957802311601","68641043","0.6284043188261571","3144639","0.028788967101638707"
"2015-04-13 - 2015-04-13","1380359","0.008922330884036375","10779805","0.06967824100497749","39615233","0.25606397819277227","98887331","0.6391855216079495","4045612","0.026149928310264334"
"2015-04-14 - 2015-04-14","1327090","0.008561105660128859","10771953","0.06949025898691276","39771327","0.2565662710822444","99141645","0.6395663430242003","4001841","0.0258160212465136"
"2015-04-15 - 2015-04-15","1296507","0.008582703888245736","10391088","0.06878762041447027","38635569","0.255762327762894","96793278","0.6407586256353807","3943995","0.02610872229900937"
"2015-04-16 - 2015-04-16","1285090","0.00851452683599185","10475263","0.06940518401635098","38846860","0.2573847994802063","96390193","0.6386454528670628","3931709","0.026050036800388046"
"2015-04-17 - 2015-04-17","1249555","0.008931793954877677","9869303","0.07054557892550238","35939502","0.2568948359255208","89072688","0.6366897785396444","3768619","0.02693801265445471"
"2015-04-18 - 2015-04-18","888974","0.008140826311627125","7927115","0.07259297388595623","28489485","0.2608939621324204","68693420","0.629063618251662","3200486","0.029308619418334226"
"2015-04-19 - 2015-04-19","1012823","0.007978873733023131","9099796","0.07168688238741514","32835725","0.25867511273664895","80465978","0.6338993864339744","3523769","0.027759744708938473"
"2015-04-20 - 2015-04-20","1433266","0.008936307412975335","11081141","0.06909009385733347","40894125","0.25497184220140573","102806323","0.6409898137021577","4171973","0.026011942826127843"
"2015-04-21 - 2015-04-21","1373755","0.008879351399593985","10607190","0.06856023626648079","39407653","0.25471383093802324","99312521","0.6419126935578447","4012321","0.02593388783805725"
"2015-04-22 - 2015-04-22","1370033","0.008839634598954631","10743416","0.06931794473896817","39213335","0.25300963758274336","99711141","0.6433495046359057","3949590","0.02548327844342817"
"2015-04-23 - 2015-04-23","1345139","0.008801957049343933","10565648","0.06913663189788315","38750558","0.25356542866879256","98250482","0.6429049508202046","3910891","0.02559103156377575"
"2015-04-24 - 2015-04-24","1255708","0.008930519528543545","9797355","0.069678197602925","35729364","0.2541050809140666","90118983","0.6409207694575362","3707207","0.02636543249692869"
"2015-04-25 - 2015-04-25","881788","0.008213648990140562","7635961","0.07112719083997822","27846924","0.25938758430724956","67948165","0.6329212654676116","3043588","0.028350310395020048"
"2015-04-26 - 2015-04-26","937440","0.007778451538514387","8443641","0.07006149975157147","31208022","0.25894999865579754","76722178","0.6366058025071202","3206279","0.02660424754699647"
"2015-04-27 - 2015-04-27","1388476","0.008962190944944048","10530009","0.06796801047333863","39528397","0.2551437991449283","99856892","0.6445459145657942","3622182","0.02338008487099476"
"2015-04-28 - 2015-04-28","1308523","0.008982538094988385","9938084","0.06822135959489788","37617084","0.2582277041002551","93695842","0.6431881366296295","3114550","0.021380261580229064"
"2015-04-29 - 2015-04-29","1244255","0.009022553457716471","9395564","0.06813071151443748","35969948","0.26083140409424244","88314757","0.640402985029387","2980450","0.02161234590421662"
"2015-04-30 - 2015-04-30","1093815","0.00909679473119677","8479181","0.07051774664423487","31638264","0.2631220025867377","76134932","0.6331818893301192","2895611","0.02408156670771146"
"2015-05-01 - 2015-05-01","745721","0.008405064031890239","6418954","0.07234839757463982","23757950","0.26777721294753226","55260507","0.6228443342345445","2539690","0.02862499121139316"
"2015-05-02 - 2015-05-02","746726","0.008233923044886274","6614524","0.07293636701354089","24274000","0.2676620982684002","56450382","0.6224613864288017","2603338","0.028706225244370952"
"2015-05-03 - 2015-05-03","801816","0.008046863080138222","7191830","0.07217575017913146","26424802","0.2651939642184275","62457310","0.6268089211536659","2767543","0.027774501368636916"
"2015-05-04 - 2015-05-04","942864","0.008022840159649127","8439011","0.07180763753682477","30587304","0.2602677065903422","74468045","0.6336494150127255","3085247","0.02625240070045838"
"2015-05-05 - 2015-05-05","1283420","0.00875278698334503","10148863","0.06921415901431488","37818578","0.2579186526990531","93745600","0.6393349545946533","3633407","0.024779446708633742"
"2015-05-06 - 2015-05-06","1247400","0.008661827264749105","9954559","0.06912351335157414","37621257","0.26123843964785404","91619615","0.6361979150174892","3568353","0.024778304718333543"
"2015-05-07 - 2015-05-07","1217563","0.008749896192434806","9644493","0.06930919597479895","36533031","0.26254101746275366","88267473","0.6343254730297669","3489148","0.025074417340245656"
"2015-05-08 - 2015-05-08","1047948","0.00872957214160675","8364989","0.06968167784970906","31984385","0.26643497221467555","75518014","0.6290769687082456","3130410","0.02607680908576302"
"2015-05-09 - 2015-05-09","660176","0.008132732197206092","5903959","0.07273108602900542","22386700","0.2757825729490221","50083340","0.6169784902232431","2141005","0.026375118601523275"
"2015-05-10 - 2015-05-10","752712","0.0077547208235289496","7030951","0.07243548944205977","26629404","0.27434608949633477","60163863","0.6198306407099169","2488073","0.0256330595281597"
"2015-05-11 - 2015-05-11","888547","0.0077524442290219445","8122526","0.0708678660934995","30963044","0.2701480864498474","71816884","0.6265919393258189","2824077","0.02463966390181229"
"2015-05-12 - 2015-05-12","1329571","0.008788803254064566","10342631","0.06836742752992436","39673580","0.2622524776821929","96280052","0.6364356881423449","3654262","0.024155603391473258"
"2015-05-13 - 2015-05-13","1285039","0.008716892314495713","10001100","0.06784114079534012","38854063","0.2635614040909515","93820303","0.6364176325888623","3458891","0.023462930210350345"
"2015-05-14 - 2015-05-14","1253911","0.008651520647174157","9772034","0.0674234087713465","38206783","0.2636126264037899","92362414","0.6372663863255426","3340188","0.023046057852146883"
"2015-05-15 - 2015-05-15","1173714","0.008865509863236054","8933583","0.06747876245877439","34888906","0.2635292245474754","84195490","0.6359606744360147","3199339","0.02416582869449949"
"2015-05-16 - 2015-05-16","857965","0.008049829010622426","7362880","0.06908198472633692","28440651","0.2668434930338507","67202088","0.63052142867926","2718183","0.025503264549930005"
"2015-05-17 - 2015-05-17","959432","0.0076808156731767415","8562623","0.06854881736475713","33165505","0.2655093123981915","79262247","0.6345407585413101","2962968","0.023720296022564546"
"2015-05-18 - 2015-05-18","1388026","0.008691854609211987","10696282","0.06698039374127805","41373334","0.2590808845269231","102500263","0.6418592903893665","3734826","0.02338757673322025"
"2015-05-19 - 2015-05-19","1336945","0.00864253975402152","10402726","0.06724732356618504","40086423","0.259134447844917","99189735","0.6412015662038152","3677703","0.023774122631061264"
"2015-05-20 - 2015-05-20","1248242","0.008505305767412407","9885246","0.06735636184016436","38633605","0.263242723304001","93481483","0.6369667071819126","3511815","0.023928901906509637"
"2015-05-21 - 2015-05-21","1211597","0.008613412898640503","9479300","0.0673896723828822","37157821","0.2641601577808256","89374503","0.6353758691625881","3440766","0.024460887775063563"
"2015-05-22 - 2015-05-22","1116000","0.00877967905206655","8613132","0.06776033565688536","33925824","0.2668977117355704","80249683","0.6313319540950547","3207069","0.025230319460422958"
"2015-05-23 - 2015-05-23","755812","0.007980601975548807","6593855","0.06962436722291043","25937586","0.27387438949443393","58925438","0.6221923797358058","2493448","0.026328261571301095"
"2015-05-24 - 2015-05-24","857482","0.007720813833179559","7597643","0.06840958431076086","30460968","0.27427218659568353","69388249","0.6247755086862554","2756748","0.024821906574120603"
"2015-05-25 - 2015-05-25","1303698","0.008739471282292629","9871319","0.06617338441790169","39522964","0.26494618298799677","94893047","0.6361251295512801","3582527","0.024015831760528863"
"2015-05-26 - 2015-05-26","1236983","0.008551317973231533","9513736","0.06576887608752899","38569310","0.2666313391680716","91863624","0.6350572796856412","3470423","0.02399118708552671"
"2015-05-27 - 2015-05-27","1208134","0.008539949865309957","9270193","0.06552831346667448","38022703","0.2687714917083457","89592747","0.6333052191854538","3374735","0.023855025774216103"
"2015-05-28 - 2015-05-28","1190027","0.008587324513345714","9182607","0.06626238412029302","37068446","0.2674886998424673","87777255","0.6334072870411322","3361149","0.02425430448276168"
"2015-05-29 - 2015-05-29","1094011","0.008598235169458823","8550855","0.06720431713204238","34292848","0.2695201160998433","80171130","0.630094422762893","3127848","0.024582908835762564"
"2015-05-30 - 2015-05-30","736773","0.007920899054988568","6399653","0.06880138848730172","25854059","0.27795181351748594","57707976","0.620406899497814","2317874","0.024918999442409766"
"2015-05-31 - 2015-05-31","826590","0.007835153504040385","7146464","0.06774052728813373","28874323","0.27369645535300924","66084638","0.6264088399193559","2565599","0.024319023935460756"
"2015-06-01 - 2015-06-01","1248519","0.008743846475996006","9303177","0.06515363516856139","38067905","0.2666038057753232","90774673","0.6357290554815264","3394029","0.023769657098593012"
"2015-06-02 - 2015-06-02","1229266","0.00860029849241336","9344448","0.06537644581956634","38284489","0.26784929627071424","90674766","0.6343867424379541","3399977","0.02378721697935198"
"2015-06-03 - 2015-06-03","1194889","0.00855573888575372","9204723","0.06590838689090923","37803823","0.2706859285433633","88115635","0.6309325509000263","3340288","0.02391739477994736"
"2015-06-04 - 2015-06-04","1156128","0.00846184589295874","9085126","0.06649517711716409","37206244","0.27231716815423623","85853951","0.6283758395814573","3326896","0.024349969254183677"
"2015-06-05 - 2015-06-05","1057419","0.008266535521878181","8458289","0.06612397400917845","34520711","0.26987096290306006","80742217","0.6312146887333179","3136982","0.024523838832565387"
"2015-06-06 - 2015-06-06","711789","0.007586876972859655","6382206","0.06802719870277107","25989544","0.27701955622905494","58393433","0.6224088770603691","2341473","0.024957491034945208"
"2015-06-07 - 2015-06-07","775612","0.007480578862078431","6931327","0.06685087162441208","28588724","0.2757309124255353","64864034","0.6255969758713592","2523723","0.02434066121661496"
"2015-06-08 - 2015-06-08","1227769","0.008316164470223986","9584791","0.06492157593873328","39533207","0.2677740287036162","93775298","0.6351771395207619","3515385","0.02381109136666453"
"2015-06-09 - 2015-06-09","1179930","0.008129849389739369","9448139","0.06509873219879378","38851440","0.267690757735201","92205797","0.6353082322433383","3450224","0.023772428432927484"
"2015-06-10 - 2015-06-10","1126776","0.008106121024374809","9067774","0.06523432649051741","37291476","0.2682780052411203","88174949","0.6343379765916886","3342131","0.024043570652298948"
"2015-06-11 - 2015-06-11","1015581","0.008273229240433127","8091902","0.06591907512755683","33140150","0.2699696607285286","77455128","0.6309728419408107","3052329","0.024865192962670632"
"2015-06-12 - 2015-06-12","690895","0.0077522893038414024","6027009","0.06762694389864721","24958394","0.28004934302210815","55171850","0.6190638847120652","2273268","0.025507539063338042"
"2015-06-13 - 2015-06-13","670759","0.007752980580821353","5880009","0.06796419517599435","24175259","0.27943018813512255","53573275","0.6192277117802402","2216973","0.025624924327821555"
